PCAdata00,PCAdata01,PCAdata02,PCAdata03,Cluster ID
numeric,numeric,numeric,numeric,numeric
-149616.59874346358,-106091.29248345207,-3.168581006717595,-0.2984145190569321,2.0
-272682.60068948136,-142507.2716792854,-0.13278314030201877,-0.17465696810585762,0.0
-376527.49820847,-168791.048484125,2.344138941329714,-0.07985230455939749,0.0
-442658.54689096165,-177652.17729828172,3.85770648014309,-0.03564579634945839,0.0
-470247.03571394534,-168108.53641979877,4.3542685222041975,-0.04466355931630812,0.0
-463227.58338135324,-141164.81916082196,3.890264653696269,-0.10368104781662021,0.0
-439048.24941601965,-103006.84517349863,2.809773819005189,-0.19402630479746205,0.0
-404985.9925904236,-56803.72174423872,1.28823633402867,-0.3064230540409122,0.0
-375996.99853143835,-9132.745837723996,-0.31030561550229585,-0.42164450082404825,0.0
-365317.42751491925,33708.60836742223,-1.6378436972581802,-0.5214707371416818,0.0
-358003.97722223424,74875.2132587903,-2.8729100542091697,-0.6164784007446888,0.0
-351335.8092327071,109759.73476701141,-3.767147368669921,-0.6954997795149969,0.0
-339632.6621232288,122787.31676254694,-3.479223924957002,-0.7201698747642941,0.0
-333058.211297359,133320.49012847448,-3.0535130366005685,-0.7376430143296582,0.0
-325115.2763039941,130270.3399121153,-1.8922433467021458,-0.7210318428413423,0.0
-320103.6537798839,126471.01467894435,-0.6888893779714405,-0.7020166666375024,0.0
-324747.5327921094,139869.15028219437,-0.4128128680356129,-0.7247736182493785,0.0
-328350.04397917585,155676.04947606532,-0.2678218615281249,-0.7537986466319568,0.0
-309103.33456189325,134138.5250605819,1.8898110248086208,-0.6924432583794291,0.0
-260666.95791481907,68728.47061299614,6.4107294650818964,-0.5253172003285244,0.0
-215551.91131866543,20042.722066475777,10.026824514183895,-0.39987180247020326,0.0
-197654.98422503812,5540.020785483059,11.803833470396917,-0.35605698775320077,0.0
150468.96080877006,-9248.328608758871,-11.579055349691851,0.3736523397369754,2.0
146854.04660542012,-10412.100565941815,-10.514207361544887,0.38751160409837326,2.0
140831.8952214592,-12333.884498287116,-9.407060213954392,0.40370585045520113,2.0
132416.64910252174,-14962.338500652142,-8.260403887238121,0.4221028809596734,2.0
123594.40290559843,-17550.358154802037,-7.115734093914602,0.4404686851701624,2.0
118456.81172773454,-18634.733441572454,-6.05442225323502,0.45439274693822296,2.0
119505.52937498345,-17319.461441231215,-5.126294542471941,0.4611749456638599,2.0
124587.41340919948,-14342.21053412569,-4.29028252240686,0.4630545667797508,2.0
130066.63490637133,-10981.711743671942,-3.475243683983578,0.46389652228021677,2.0
132613.87197659712,-8445.657807655487,-2.6140404239155637,0.46733279428545615,2.0
133540.48144089777,-6362.574248449368,-1.7274683899943564,0.47219614270254195,2.0
133359.28394788646,-4677.506700026679,-0.8187646713947441,0.4782583163030695,2.0
132631.77778103852,-3332.587402429708,0.10865119912534649,0.485275217120172,2.0
131776.29205745697,-2361.2042244313634,1.0563781098384188,0.4932582913580234,1.0
131021.82304425078,-1688.1859638822934,2.020226202002074,0.5019776769410791,1.0
130447.973301524,-1382.4777613740007,3.0038923511095055,0.5115937114152136,1.0
130680.68421437901,-2421.0659932903436,4.060016103804994,0.5244659720392602,1.0
131301.24672757712,-3237.1297637183525,5.103883046834989,0.5367083425346364,1.0
132902.0123546476,-4558.092390187427,6.174622742960349,0.55005564992417,1.0
134097.29400870312,-5188.108024306188,7.2081158094866336,0.5617277269064216,1.0
135377.50811552507,-6242.47784768069,8.264567081120292,0.5744572733378861,1.0
136162.378219492,-6760.300079500943,9.292185822069458,0.5859173952051522,1.0
135987.65912251594,-6178.534405816637,10.260687861104643,0.5947663042605815,1.0
135837.7405665622,-5854.623212352453,11.243153728090329,0.6042624467078788,1.0
135742.3510077142,-5547.9917316698775,12.226528717147085,0.6137927471600202,1.0
-15282.008144171048,-57765.57622781905,-8.87606476608585,1.525086897441605,2.0
-48362.13837947095,-64536.88811696152,-7.492426019699266,1.5582516268479252,2.0
-71596.6815067346,-66311.24248959511,-6.384595857838441,1.5770736581496665,2.0
-82441.0333924811,-62064.85430937707,-5.609348196825094,1.5785224993537665,2.0
